product_id,product_name,product_type,description,rating,price,price_range,inventory,available
id01,iPhone 14,phone,"iPhone 14 – 6.1"" OLED display, A15 Bionic chip, 128GB storage, dual 12MP cameras, available in Blue and Midnight.",4,989,900-1000,1,TRUE
id02,iPhone 15,phone,"iPhone 15 – 6.1"" Super Retina XDR, Dynamic Island, A16 chip, 128GB, USB-C, 48MP main camera.",4.9,909,900-1000,4,TRUE
id03,iPhone SE,phone,"iPhone SE – Compact 4.7"" Retina display, A15 chip, 64GB, Touch ID, available in Starlight.",4.1,345,300-400,1,TRUE
id04,Samsung Galaxy S23,phone,"Samsung Galaxy S23 – 6.1"" AMOLED 120Hz, Snapdragon 8 Gen 2, 128GB, 50MP triple camera, Phantom Black.",3.9,676,600-700,5,TRUE
id05,Samsung A54,phone,"Samsung A54 – 6.4"" AMOLED 120Hz, Exynos 1380, 128GB, 50MP OIS camera, Lime Green.",4.7,1405,1000+,1,TRUE
id06,Google Pixel 8,phone,"Google Pixel 8 – 6.2"" Actua Display, Tensor G3, 128GB, 50MP camera with AI features.",4.8,925,900-1000,2,TRUE
id07,Google Pixel 7a,phone,"Google Pixel 7a – 6.1"" OLED 90Hz, Tensor G2, 128GB, 64MP main camera.",4.5,1476,1000+,1,TRUE
id08,OnePlus 11,phone,"OnePlus 11 – 6.7"" AMOLED 120Hz, Snapdragon 8 Gen 2, 256GB, Hasselblad triple camera.",3.6,587,500-600,1,TRUE
id09,OnePlus Nord CE3,phone,"OnePlus Nord CE3 – 6.7"" AMOLED, Snapdragon 782G, 128GB, 50MP camera.",4.1,909,900-1000,2,TRUE
id10,Xiaomi Mi 12,phone,"Xiaomi Mi 12 – 6.28"" AMOLED 120Hz, Snapdragon 8 Gen 1, 128GB, 50MP triple camera.",4.7,801,800-900,0,FALSE
id11,Xiaomi Redmi Note 13,phone,"Xiaomi Redmi Note 13 – 6.7"" AMOLED, 108MP camera, Mediatek Dimensity chip, 128GB.",4,197,100-200,5,TRUE
id12,Oppo Reno10,phone,"Oppo Reno10 – 6.7"" AMOLED, 128GB, 64MP portrait camera, sleek curved display.",3.7,99,under-100,1,TRUE
id13,Vivo V29,phone,"Vivo V29 – 6.78"" AMOLED, 50MP selfie camera, 128GB, color-changing back panel.",4.2,1115,1000+,3,TRUE
id14,Motorola Edge 40,phone,"Motorola Edge 40 – 6.55"" pOLED, 144Hz, 50MP camera, Dimensity 8020, 256GB.",3.7,245,200-300,1,TRUE
id15,Sony Xperia 5 V,phone,"Sony Xperia 5 V – Compact 6.1"" OLED, 48MP camera, Snapdragon 8 Gen 2, 128GB.",4.8,1233,1000+,1,TRUE
id16,Asus ROG Phone 7,phone,"Asus ROG Phone 7 – 6.78"" AMOLED 165Hz, Snapdragon 8 Gen 2, 256GB, RGB gaming design.",4.4,591,500-600,2,TRUE
id17,Realme GT Neo,phone,"Realme GT Neo – 6.7"" AMOLED, Dimensity chipset, 128GB, 50MP camera.",4.5,60,under-100,5,TRUE
